"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Drake Powell","Bro","*","G-F","20.5","49","19.3","14.6","16.5","61","0.902","114","0.57","128","0.297","0.504","0.556","6.1","1.7","1.5","0.5","0.1","1","7.8","7.6","9.3","5.2","106.8","117.6"
"","Sean Pedulla","Lac","*","G","23.4","1","6","29.6","0","0","0","0","0","4","0.5","0.75","0.75","6","1","3","0","0","0","7","9","10","17.5","179.4","121"
"","Andersson Garcia","Uta","*","F","25.5","1","25.1","11.3","15.5","2","1","5","0.4","0","0","0.4","0.51","6","9","0","1","1","1","15","6","15","0","124.8","107.5"
"","KJ Simpson","Cha","","G","23.6","14","15.9","22.7","21.2","16","0.625","50","0.38","39","0.308","0.416","0.437","6","2.1","2.5","1.1","0","1.7","8.1","8.5","10.6","7.9","90.2","109.7"
"","Oso Ighodaro","Pho","*","F","23.7","65","20.9","12.1","23.2","80","0.488","270","0.648","1","0","0.646","0.635","6","4.8","2","0.9","0.6","1.3","10.8","8","12.8","7.4","120","103.7"
"","Isaiah Jackson","Lac","*","F","24.2","8","13.2","16.4","15.5","16","0.563","27","0.704","0","0","0.704","0.69","5.9","3.9","0.9","0.6","1","0.6","9.8","6.8","10.6","8.3","135.3","96.9"
"","Nae'Qwan Tomlin","Cle","*","F","25.2","51","15.8","15.6","7.2","53","0.755","165","0.606","93","0.215","0.504","0.533","5.9","2.9","0.8","0.7","0.6","0.4","8.8","6.7","9.6","6.1","119.5","105.6"
"","Jamir Watkins","Was","*","F","24.7","32","18.7","13.3","9.7","35","0.657","74","0.635","84","0.286","0.525","0.545","5.9","3.5","0.9","0.8","0.5","0.5","9.4","6.8","10.3","5.7","114.2","110.8"
"","Goga Bitadze","Orl","*","C-F","26.6","47","15.5","12.8","13.1","67","0.687","154","0.734","11","0.182","0.703","0.715","5.9","5","1.2","0.6","1.1","0.5","10.9","7.1","12.1","8.5","148.2","101"
"","Dru Smith","Mia","*","G","28.2","63","17","15.1","14.6","100","0.83","181","0.481","123","0.309","0.474","0.533","5.9","2.6","2.7","1.6","0.3","0.8","8.5","8.6","11.1","8.1","117.8","104.4"
"","Kasparas Jakucionis","Mia","*","G","19.8","39","17.4","13.7","19.3","41","0.878","63","0.397","108","0.435","0.558","0.6","5.8","2.7","2.5","0.7","0.1","1.1","8.5","8.3","10.9","7.8","119.6","105.2"
"","Nick Smith Jr.","Lal","*","G","21.9","25","12.7","21.5","12.5","11","0.636","64","0.453","69","0.391","0.523","0.53","5.8","0.8","1.1","0.4","0.1","0.8","6.6","7","7.8","5.4","100.9","113.8"
"","Sidy Cissoko","Por","*","G","21.9","59","21.1","12.7","17.2","78","0.679","117","0.53","176","0.313","0.493","0.522","5.8","2.4","1.5","0.8","0.4","1","8.2","7.3","9.6","5.2","107","108.7"
"","Kris Murray","Por","*","F","25.6","42","24.1","10.6","13.8","45","0.711","121","0.595","91","0.253","0.502","0.528","5.8","3.8","1.1","1","0.4","0.8","9.6","7","10.8","4.8","114.6","113.6"
"","Josh Minott","Bos","","F","23.3","33","15.9","13.8","12.8","26","0.769","59","0.593","77","0.442","0.632","0.651","5.8","3.6","1","0.7","0.4","0.6","9.4","6.8","10.4","6.9","132.9","104.8"
"","Dean Wade","Cle","*","F-C","29.3","51","22.5","10","5.9","38","0.711","67","0.612","174","0.362","0.562","0.578","5.8","4.3","1.5","0.8","0.4","0.3","10.2","7.4","11.7","5.9","129.8","110.3"
